subject_id,condition,acc
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,0
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,0
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,0
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,0
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,0
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,0
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,0
101,1,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,2,1
101,1,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,2,1
101,1,1
101,2,1
101,2,1
101,2,1
101,1,1
101,1,1
101,1,1
101,2,1
102,1,1
102,1,1
102,2,1
102,1,1
102,2,1
102,2,0
102,2,1
102,1,1
102,1,0
102,2,1
102,1,1
102,1,1
102,2,0
102,2,0
102,2,0
102,1,0
102,1,0
102,2,1
102,2,1
102,1,1
