subject_id,Block,Trial,Type,Global,Local,Targets,repCorr,Key,RT,acc,cond,hitMiss,ct
101,gbLc,0,SS,S,S,HL,102,102,682,1,,CR,1
101,gbLc,1,LA,L,A,HL,106,106,488,1,G,H,1
101,gbLc,2,OO,O,O,HL,102,102,320,1,,CR,1
101,gbLc,3,HA,H,A,HL,106,106,704,1,G,H,1
101,gbLc,4,HL,H,L,HL,106,106,575,1,GL,H,1
101,gbLc,0,HS,H,S,HL,106,106,622,1,G,H,1
101,gbLc,1,LH,L,H,HL,106,106,263,1,GL,H,1
101,gbLc,2,SS,S,S,HL,102,102,341,1,,CR,1
101,gbLc,3,SO,S,O,HL,102,102,555,1,,CR,1
101,gbLc,4,OA,O,A,HL,102,102,462,1,,CR,1
101,gbLc,5,AH,A,H,HL,106,106,991,1,L,H,1
101,gbLc,6,AL,A,L,HL,106,106,316,1,L,H,1
101,gbLc,7,SH,S,H,HL,106,106,726,1,L,H,1
101,gbLc,8,HA,H,A,HL,106,106,617,1,G,H,1
101,gbLc,9,OS,O,S,HL,102,102,656,1,,CR,1
101,gbLc,10,AO,A,O,HL,102,102,1228,1,,CR,1
101,gbLc,11,AA,A,A,HL,102,102,998,1,,CR,1
101,gbLc,12,LO,L,O,HL,106,106,391,1,G,H,1
101,gbLc,13,AS,A,S,HL,102,102,514,1,,CR,1
101,gbLc,14,OH,O,H,HL,106,106,584,1,L,H,1
101,gbLc,15,HO,H,O,HL,106,106,455,1,G,H,1
101,gbLc,16,LL,L,L,HL,106,106,287,1,GL,H,1
101,gbLc,17,HL,H,L,HL,106,106,304,1,GL,H,1
101,gbLc,18,LA,L,A,HL,106,106,315,1,G,H,1
101,gbLc,19,SL,S,L,HL,106,106,718,1,L,H,1
101,gbLc,20,SA,S,A,HL,102,102,719,1,,CR,1
101,gbLc,21,OL,O,L,HL,106,106,670,1,L,H,1
101,gbLc,22,HH,H,H,HL,106,106,392,1,GL,H,1
101,gbLc,23,OO,O,O,HL,102,102,483,1,,CR,1
101,gbLc,24,LS,L,S,HL,106,106,383,1,G,H,1
101,gbLc,25,HS,H,S,HL,106,106,339,1,G,H,1
101,gbLc,26,LO,L,O,HL,106,106,279,1,G,H,1
101,gbLc,27,OA,O,A,HL,102,102,651,1,,CR,1
101,gbLc,28,OL,O,L,HL,106,106,317,1,L,H,1
101,gbLc,29,HH,H,H,HL,106,106,265,1,GL,H,1
101,gbLc,30,SO,S,O,HL,102,102,512,1,,CR,1
101,gbLc,31,HL,H,L,HL,106,106,234,1,GL,H,1
101,gbLc,32,AL,A,L,HL,106,106,662,1,L,H,1
101,gbLc,33,LH,L,H,HL,106,106,195,1,GL,H,1
101,gbLc,34,SS,S,S,HL,102,102,504,1,,CR,1
101,gbLc,35,LS,L,S,HL,106,106,298,1,G,H,1
101,gbLc,36,OS,O,S,HL,102,102,484,1,,CR,1
101,gbLc,37,HA,H,A,HL,106,106,348,1,G,H,1
101,gbLc,38,SL,S,L,HL,106,106,457,1,L,H,1
101,gbLc,39,OH,O,H,HL,106,106,511,1,L,H,1
101,gbLc,40,AH,A,H,HL,106,106,349,1,L,H,1
