subject_id,Block,Trial,Type,Color,Text,Letter,Key,RT
101,0,0,rect,y,NA,107,107,792
101,0,1,rect,b,NA,102,102,567
101,0,2,rect,g,NA,106,106,686
101,0,3,rect,r,NA,100,100,689
101,0,4,rect,g,NA,106,106,758
101,0,5,rect,b,NA,102,102,530
101,0,6,rect,r,NA,100,100,493
101,0,7,rect,y,NA,107,107,789
101,0,8,rect,r,NA,100,100,684
101,0,9,rect,y,NA,107,107,590
101,0,10,rect,b,NA,102,102,715
101,0,11,rect,g,NA,106,106,754
101,0,12,rect,b,NA,102,102,623
101,0,13,rect,g,NA,106,106,658
101,0,14,rect,y,NA,107,107,400
101,0,15,rect,r,NA,100,100,433
101,0,16,rect,g,NA,106,106,601
101,0,17,rect,r,NA,100,100,615
101,0,18,rect,y,NA,107,107,789
101,0,19,rect,b,NA,102,102,454
101,0,20,rect,g,NA,106,106,586
101,0,21,rect,y,NA,107,107,436
101,0,22,rect,b,NA,102,102,527
101,0,23,rect,r,NA,100,100,706
101,0,24,rect,g,NA,106,106,435
101,0,25,rect,b,NA,102,102,453
101,0,26,rect,y,NA,107,107,468
101,0,27,rect,r,NA,100,100,408
101,0,28,rect,b,NA,102,102,401
101,0,29,rect,y,NA,107,107,649
101,0,30,rect,g,NA,106,106,535
101,0,31,rect,r,NA,100,100,515
101,0,32,rect,r,NA,100,100,603
101,0,33,rect,g,NA,106,106,765
101,0,34,rect,y,NA,107,107,674
101,0,35,rect,b,NA,102,102,561
101,0,36,rect,y,NA,107,107,447
101,0,37,rect,r,NA,100,100,663
101,0,38,rect,g,NA,106,106,758
101,0,39,rect,b,NA,102,102,446
101,1,0,bw,NA,g,106,106,694
101,1,1,bw,NA,r,100,100,533
101,1,2,bw,NA,b,102,102,547
101,1,3,bw,NA,y,107,107,774
101,1,4,bw,NA,b,102,102,695
101,1,5,bw,NA,r,100,100,628
101,1,6,bw,NA,y,107,107,659
101,1,7,bw,NA,g,106,106,543
101,1,8,bw,NA,g,106,106,871
101,1,9,bw,NA,y,107,107,730
101,1,10,bw,NA,b,102,102,590
101,1,11,bw,NA,r,100,100,488
101,1,12,bw,NA,g,106,106,898
101,1,13,bw,NA,b,102,102,664
101,1,14,bw,NA,r,100,100,626
101,1,15,bw,NA,y,107,107,819
101,1,16,bw,NA,r,100,100,885
101,1,17,bw,NA,g,106,106,901
101,1,18,bw,NA,y,107,107,749
101,1,19,bw,NA,b,102,102,603
101,1,20,bw,NA,y,107,107,887
101,1,21,bw,NA,g,106,106,598
101,1,22,bw,NA,r,100,100,695
101,1,23,bw,NA,b,102,102,495
101,1,24,bw,NA,y,107,107,731
101,1,25,bw,NA,r,100,100,639
101,1,26,bw,NA,g,106,106,896
101,1,27,bw,NA,b,102,102,656
101,1,28,bw,NA,r,100,100,637
101,1,29,bw,NA,y,107,106,884
